tile,ch,gain_dB
B07,0,0.0
F07,1,0.0
C07,1,0.0
F10,1,0.0
B09,1,0.0
C10,1,0.0
G07,0,0.0
A05,0,0.0
E08,0,60.47132457682412
D06,0,0.0
A08,0,70.44281621214367
D09,0,0.0
G10,0,0.0
F05,1,0.0
C05,1,0.0
E09,0,0.0
E05,0,0.0
A10,0,0.0
G05,0,0.0
D07,0,71.40885643249518
B05,0,0.0
G09,0,0.0
G06,0,71.8769167921877
C09,1,0.0
D10,0,0.0
A06,0,0.0
A09,0,0.0
E10,0,0.0
E06,0,0.0
B10,0,0.0
F09,0,0.0
D08,0,66.34807301703009
C06,1,0.0
B06,0,0.0
A07,0,75.51389407201262
E07,0,65.44084883643953
D05,0,0.0
G08,0,73.76916327216637
B06,1,0.0
C08,1,0.0
F06,1,0.0
